group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
atomic_queue,atomic_queue_dequeue_seize,,,,63082100.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,60503000.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,61422600.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,58263300.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,58248000.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,56909100.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,57283800.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,60228100.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,54942800.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,56072600.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,55704900.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,55154400.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,53577600.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,55099700.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,55308200.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,50385800.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,50085400.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,50402000.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,47754800.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,48001400.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,50335800.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,46282700.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,46165900.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,46118100.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,46289700.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,46407400.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,46484200.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,47000400.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,46838000.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,46960500.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,48360300.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,47506100.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,47186700.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,46868900.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,47239200.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,48391800.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,47922300.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,47893500.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,52061600.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49084900.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49215300.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49685100.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49233400.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,48841600.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,48736900.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,48699900.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,48270700.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49313200.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49554500.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49222900.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,51784700.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49589500.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49842100.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49942800.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49068200.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,48908400.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49824700.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49445400.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49583000.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49837900.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49518100.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,50710100.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,51213300.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,50663300.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,50674400.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49927100.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49941600.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,50696300.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49906100.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49934000.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,50618800.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,50800200.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49864600.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49257800.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49354800.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49118200.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,50914700.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49354800.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49956600.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49865900.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,49094600.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,51765400.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,51684100.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,54167000.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,58406500.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,56694100.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,56645800.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,57247800.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,53766200.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,53378700.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,52945600.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,52466000.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,52633900.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,52965500.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,51887300.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,52536400.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,51702100.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,51421500.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,51488400.0,ns,6
atomic_queue,atomic_queue_dequeue_seize,,,,52383200.0,ns,6
